Specialization,Certifications,CGPA/Percentage,Skills_ID_Categorized,Recommended_Career,Education_Level_ID_Categorized,Certifications_ID_Categorized
Computer Science,Mental Health Basics,61,"Analisis Data & IT, Konseling",Eksekutif Pemasaran,Sarjana,Kesehatan Mental
Finance,Tally ERP,63,Python,Operator Entri Data,SMA/Sederajat,Keuangan & ERP
Business,CFA Level 1,71,Keuangan & Akuntansi,Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Business,Creative Writing,83,"Keuangan & Akuntansi, Komunikasi, Konseling",ML Engineer,SMA/Sederajat,Penulisan Kreatif
Psychology,Tally ERP,88,"Analisis Data & IT, Keuangan & Akuntansi",Business Analyst,Doktor,Keuangan & ERP
Finance,AWS Certified,67,MS Office,Akademisi/Dosen,Sarjana,Cloud bersertifikat (AWS)
Science,Tally ERP,60,"Machine Learning, Python",ML Engineer,Magister,Keuangan & ERP
Psychology,Digital Marketing,72,Keuangan & Akuntansi,Akademisi/Dosen,Doktor,Pemasaran Digital
Psychology,CFA Level 1,90,"Konseling, MS Office, SQL",Staf Administrasi,Sarjana,Keuangan (CFA)
Finance,CFA Level 1,93,"Keuangan & Akuntansi, Komunikasi, Python",Ilmuwan Peneliti,Sarjana,Keuangan (CFA)
Psychology,Mental Health Basics,81,"Keuangan & Akuntansi, Komunikasi, Konseling",Business Analyst,SMA/Sederajat,Kesehatan Mental
Psychology,Tally ERP,73,"Analisis Data & IT, Pemasaran, Python",Operator Entri Data,SMA/Sederajat,Keuangan & ERP
Finance,Tally ERP,82,Analisis Data & IT,Akuntan Junior,Magister,Keuangan & ERP
Arts,Tally ERP,62,"Keuangan & Akuntansi, SQL",Ilmuwan Peneliti,Magister,Keuangan & ERP
Finance,Digital Marketing,67,"Analisis Data & IT, Komunikasi, Pemasaran",Operator Entri Data,SMA/Sederajat,Pemasaran Digital
Computer Science,No Certification,95,"Konseling, Pemasaran",Software Engineer,SMA/Sederajat,Tanpa Sertifikat
Computer Science,AWS Certified,86,"Konseling, Python, SQL",Staf Administrasi,SMA/Sederajat,Cloud bersertifikat (AWS)
Arts,Creative Writing,86,"Keuangan & Akuntansi, Python",Staf Administrasi,Magister,Penulisan Kreatif
Science,AWS Certified,85,"Analisis Data & IT, Komunikasi",Konselor Sekolah,Magister,Cloud bersertifikat (AWS)
Psychology,Google Data Analytics,73,"Analisis Data & IT, SQL",ML Engineer,Sarjana,Analisis Data Google
Commerce,Tally ERP,66,Analisis Data & IT,Asisten Penjualan,Sarjana,Keuangan & ERP
Engineering,AWS Certified,80,"Keuangan & Akuntansi, MS Office",Konselor Sekolah,Sarjana,Cloud bersertifikat (AWS)
Arts,No Certification,87,SQL,Operator Entri Data,Magister,Tanpa Sertifikat
Computer Science,Mental Health Basics,84,"Konseling, Pemasaran",Akademisi/Dosen,Sarjana,Kesehatan Mental
Science,Tally ERP,88,"Konseling, Pemasaran",Ilmuwan Peneliti,Sarjana,Keuangan & ERP
Computer Science,AWS Certified,72,"Keuangan & Akuntansi, Komunikasi, MS Office",Akuntan Junior,Sarjana,Cloud bersertifikat (AWS)
Commerce,Tally ERP,81,"Keuangan & Akuntansi, Python",Akademisi/Dosen,Magister,Keuangan & ERP
Computer Science,Creative Writing,87,Machine Learning,Business Analyst,Sarjana,Penulisan Kreatif
Science,AWS Certified,65,"Konseling, MS Office, Python",Asisten Penjualan,Magister,Cloud bersertifikat (AWS)
Computer Science,Tally ERP,75,"MS Office, Pemasaran",Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Science,Google Data Analytics,69,"Machine Learning, SQL",Operator Entri Data,SMA/Sederajat,Analisis Data Google
Computer Science,Creative Writing,92,"Keuangan & Akuntansi, MS Office",Software Engineer,Sarjana,Penulisan Kreatif
Business,Creative Writing,66,"Analisis Data & IT, Machine Learning",Konselor Sekolah,Magister,Penulisan Kreatif
Finance,Digital Marketing,81,"Komunikasi, Pemasaran, SQL",Asisten Penjualan,SMA/Sederajat,Pemasaran Digital
Engineering,Creative Writing,93,"Konseling, Machine Learning",Konselor Sekolah,Sarjana,Penulisan Kreatif
Arts,Digital Marketing,66,"Keuangan & Akuntansi, Konseling",Software Engineer,SMA/Sederajat,Pemasaran Digital
Computer Science,Tally ERP,84,"Analisis Data & IT, Konseling",Operator Entri Data,SMA/Sederajat,Keuangan & ERP
Computer Science,Creative Writing,86,"Konseling, MS Office, Machine Learning",Software Engineer,SMA/Sederajat,Penulisan Kreatif
Arts,Mental Health Basics,86,Python,Staf Administrasi,SMA/Sederajat,Kesehatan Mental
Arts,CFA Level 1,71,"Analisis Data & IT, Konseling, MS Office",Ilmuwan Peneliti,SMA/Sederajat,Keuangan (CFA)
Science,Tally ERP,60,"Komunikasi, Pemasaran",Software Engineer,SMA/Sederajat,Keuangan & ERP
Commerce,Google Data Analytics,70,"Komunikasi, Python",Konselor Sekolah,SMA/Sederajat,Analisis Data Google
Psychology,Google Data Analytics,90,"Keuangan & Akuntansi, Konseling, MS Office",Eksekutif Pemasaran,SMA/Sederajat,Analisis Data Google
Finance,Tally ERP,62,"Konseling, Machine Learning, SQL",Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Arts,No Certification,82,"Konseling, SQL",Operator Entri Data,Magister,Tanpa Sertifikat
Commerce,Creative Writing,79,"Analisis Data & IT, Konseling, Pemasaran",Business Analyst,Sarjana,Penulisan Kreatif
Finance,Mental Health Basics,72,Python,Software Engineer,SMA/Sederajat,Kesehatan Mental
Engineering,CFA Level 1,80,"Keuangan & Akuntansi, Komunikasi, Python",Eksekutif Pemasaran,Doktor,Keuangan (CFA)
Science,No Certification,61,Keuangan & Akuntansi,Financial Analyst,Doktor,Tanpa Sertifikat
Commerce,CFA Level 1,75,"Keuangan & Akuntansi, Python, SQL",Business Analyst,Magister,Keuangan (CFA)
Science,Google Data Analytics,61,"Analisis Data & IT, Komunikasi, Pemasaran",Asisten Penjualan,SMA/Sederajat,Analisis Data Google
Engineering,Mental Health Basics,78,Keuangan & Akuntansi,Financial Analyst,Magister,Kesehatan Mental
Business,Tally ERP,93,"Keuangan & Akuntansi, Konseling, SQL",Business Analyst,Magister,Keuangan & ERP
Science,AWS Certified,83,"Konseling, Python",Asisten Penjualan,Sarjana,Cloud bersertifikat (AWS)
Psychology,No Certification,76,"Keuangan & Akuntansi, Komunikasi, Konseling",Operator Entri Data,Sarjana,Tanpa Sertifikat
Business,AWS Certified,64,"Keuangan & Akuntansi, MS Office, Pemasaran",Akuntan Junior,Sarjana,Cloud bersertifikat (AWS)
Finance,CFA Level 1,85,"Konseling, Python, SQL",Asisten Penjualan,SMA/Sederajat,Keuangan (CFA)
Finance,Google Data Analytics,79,Komunikasi,Software Engineer,SMA/Sederajat,Analisis Data Google
Computer Science,CFA Level 1,77,"Analisis Data & IT, Konseling",Eksekutif Pemasaran,Doktor,Keuangan (CFA)
Finance,CFA Level 1,60,Konseling,Akademisi/Dosen,Sarjana,Keuangan (CFA)
Arts,CFA Level 1,82,"Keuangan & Akuntansi, MS Office",ML Engineer,Magister,Keuangan (CFA)
Engineering,Google Data Analytics,81,Pemasaran,Akademisi/Dosen,Magister,Analisis Data Google
Arts,AWS Certified,83,"Keuangan & Akuntansi, MS Office",Operator Entri Data,Doktor,Cloud bersertifikat (AWS)
Arts,Digital Marketing,82,"Pemasaran, Python",Business Analyst,SMA/Sederajat,Pemasaran Digital
Engineering,Creative Writing,66,SQL,Financial Analyst,Magister,Penulisan Kreatif
Finance,Creative Writing,61,"Komunikasi, MS Office, Machine Learning",Financial Analyst,Sarjana,Penulisan Kreatif
Engineering,Creative Writing,60,"Analisis Data & IT, Konseling, Machine Learning",Staf Administrasi,Magister,Penulisan Kreatif
Arts,No Certification,78,Keuangan & Akuntansi,Akademisi/Dosen,Sarjana,Tanpa Sertifikat
Arts,Creative Writing,79,"MS Office, Machine Learning",Staf Administrasi,Magister,Penulisan Kreatif
Business,Digital Marketing,67,"Analisis Data & IT, Keuangan & Akuntansi",Financial Analyst,Doktor,Pemasaran Digital
Business,No Certification,95,"MS Office, Machine Learning, Python",Akuntan Junior,SMA/Sederajat,Tanpa Sertifikat
Computer Science,CFA Level 1,76,Komunikasi,Akademisi/Dosen,Magister,Keuangan (CFA)
Engineering,CFA Level 1,95,"Keuangan & Akuntansi, Machine Learning",Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Commerce,Google Data Analytics,69,"Keuangan & Akuntansi, Pemasaran",ML Engineer,Doktor,Analisis Data Google
Engineering,No Certification,73,Keuangan & Akuntansi,Operator Entri Data,Sarjana,Tanpa Sertifikat
Psychology,CFA Level 1,69,"Konseling, Python",Staf Administrasi,Doktor,Keuangan (CFA)
Finance,Mental Health Basics,84,Machine Learning,Asisten Penjualan,SMA/Sederajat,Kesehatan Mental
Arts,CFA Level 1,85,"Analisis Data & IT, Komunikasi",Akademisi/Dosen,Sarjana,Keuangan (CFA)
Arts,Google Data Analytics,75,"Keuangan & Akuntansi, Konseling, SQL",Business Analyst,SMA/Sederajat,Analisis Data Google
Psychology,Creative Writing,83,"Keuangan & Akuntansi, Machine Learning",Staf Administrasi,Doktor,Penulisan Kreatif
Arts,Mental Health Basics,94,"Analisis Data & IT, MS Office",Konselor Sekolah,Sarjana,Kesehatan Mental
Science,AWS Certified,84,"Konseling, SQL",Ilmuwan Peneliti,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,No Certification,68,Machine Learning,Staf Administrasi,SMA/Sederajat,Tanpa Sertifikat
Commerce,No Certification,71,"Keuangan & Akuntansi, Komunikasi, MS Office",Konselor Sekolah,Doktor,Tanpa Sertifikat
Finance,Google Data Analytics,64,"Analisis Data & IT, Python, SQL",Ilmuwan Peneliti,SMA/Sederajat,Analisis Data Google
Science,Google Data Analytics,70,Komunikasi,Eksekutif Pemasaran,SMA/Sederajat,Analisis Data Google
Science,Creative Writing,85,"Analisis Data & IT, Keuangan & Akuntansi, Komunikasi",Software Engineer,Sarjana,Penulisan Kreatif
Engineering,No Certification,65,Pemasaran,Konselor Sekolah,SMA/Sederajat,Tanpa Sertifikat
Commerce,CFA Level 1,95,"Analisis Data & IT, Keuangan & Akuntansi",Akademisi/Dosen,SMA/Sederajat,Keuangan (CFA)
Psychology,Digital Marketing,76,SQL,Staf Administrasi,SMA/Sederajat,Pemasaran Digital
Arts,Google Data Analytics,70,"Analisis Data & IT, Python",Ilmuwan Peneliti,Sarjana,Analisis Data Google
Engineering,No Certification,74,"Keuangan & Akuntansi, MS Office, Python",Ilmuwan Peneliti,Magister,Tanpa Sertifikat
Arts,AWS Certified,84,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Asisten Penjualan,SMA/Sederajat,Cloud bersertifikat (AWS)
Psychology,Mental Health Basics,88,"Analisis Data & IT, Keuangan & Akuntansi",Ilmuwan Peneliti,SMA/Sederajat,Kesehatan Mental
Computer Science,No Certification,73,Komunikasi,Akademisi/Dosen,Doktor,Tanpa Sertifikat
Finance,Mental Health Basics,83,Analisis Data & IT,ML Engineer,SMA/Sederajat,Kesehatan Mental
Engineering,Digital Marketing,62,Keuangan & Akuntansi,ML Engineer,Sarjana,Pemasaran Digital
Computer Science,AWS Certified,83,"Keuangan & Akuntansi, Komunikasi, Python",Software Engineer,Sarjana,Cloud bersertifikat (AWS)
Arts,No Certification,91,Pemasaran,Asisten Penjualan,Doktor,Tanpa Sertifikat
Commerce,CFA Level 1,89,"Machine Learning, SQL",Financial Analyst,Sarjana,Keuangan (CFA)
Commerce,Google Data Analytics,68,Keuangan & Akuntansi,Financial Analyst,SMA/Sederajat,Analisis Data Google
Commerce,Mental Health Basics,71,"Keuangan & Akuntansi, MS Office, SQL",Akademisi/Dosen,Sarjana,Kesehatan Mental
Finance,Creative Writing,61,"Keuangan & Akuntansi, SQL",ML Engineer,Magister,Penulisan Kreatif
Business,Digital Marketing,74,Komunikasi,Financial Analyst,Magister,Pemasaran Digital
Arts,AWS Certified,79,"Machine Learning, Pemasaran, Python",Software Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Engineering,No Certification,72,Pemasaran,Software Engineer,Sarjana,Tanpa Sertifikat
Science,Tally ERP,91,Keuangan & Akuntansi,Staf Administrasi,SMA/Sederajat,Keuangan & ERP
Science,No Certification,95,"Komunikasi, Konseling, Machine Learning",ML Engineer,Sarjana,Tanpa Sertifikat
Computer Science,Mental Health Basics,82,Pemasaran,Business Analyst,Magister,Kesehatan Mental
Engineering,AWS Certified,77,"Keuangan & Akuntansi, Komunikasi, SQL",Financial Analyst,Doktor,Cloud bersertifikat (AWS)
Science,Google Data Analytics,86,"Keuangan & Akuntansi, Konseling, Python",Business Analyst,Magister,Analisis Data Google
Commerce,Digital Marketing,77,"Keuangan & Akuntansi, Konseling, Pemasaran",ML Engineer,SMA/Sederajat,Pemasaran Digital
Science,AWS Certified,80,"Keuangan & Akuntansi, SQL",Financial Analyst,Sarjana,Cloud bersertifikat (AWS)
Arts,No Certification,72,Komunikasi,Ilmuwan Peneliti,Magister,Tanpa Sertifikat
Psychology,Mental Health Basics,67,Konseling,Konselor Sekolah,SMA/Sederajat,Kesehatan Mental
Science,AWS Certified,68,"Komunikasi, Machine Learning, Pemasaran",Konselor Sekolah,SMA/Sederajat,Cloud bersertifikat (AWS)
Engineering,CFA Level 1,93,"Keuangan & Akuntansi, Python, SQL",Eksekutif Pemasaran,SMA/Sederajat,Keuangan (CFA)
Commerce,Tally ERP,88,"Komunikasi, Konseling, Pemasaran",Staf Administrasi,Sarjana,Keuangan & ERP
Engineering,No Certification,83,Konseling,Staf Administrasi,Sarjana,Tanpa Sertifikat
Science,Google Data Analytics,91,"Keuangan & Akuntansi, Pemasaran",Financial Analyst,Doktor,Analisis Data Google
Science,Mental Health Basics,79,"Keuangan & Akuntansi, SQL",ML Engineer,Magister,Kesehatan Mental
Arts,No Certification,79,Keuangan & Akuntansi,ML Engineer,SMA/Sederajat,Tanpa Sertifikat
Business,AWS Certified,61,"Analisis Data & IT, Keuangan & Akuntansi, MS Office",Akademisi/Dosen,Sarjana,Cloud bersertifikat (AWS)
Arts,CFA Level 1,93,MS Office,Eksekutif Pemasaran,Doktor,Keuangan (CFA)
Commerce,Google Data Analytics,88,Pemasaran,Akademisi/Dosen,Magister,Analisis Data Google
Psychology,No Certification,72,"MS Office, Pemasaran, SQL",ML Engineer,Magister,Tanpa Sertifikat
Commerce,Tally ERP,77,Machine Learning,Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Computer Science,Google Data Analytics,66,Pemasaran,Akademisi/Dosen,SMA/Sederajat,Analisis Data Google
Psychology,Digital Marketing,93,"Analisis Data & IT, Machine Learning, Python",Konselor Sekolah,Magister,Pemasaran Digital
Computer Science,Google Data Analytics,70,Pemasaran,Asisten Penjualan,Sarjana,Analisis Data Google
Engineering,CFA Level 1,68,Analisis Data & IT,Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Finance,Digital Marketing,64,"Analisis Data & IT, MS Office, SQL",Akademisi/Dosen,Magister,Pemasaran Digital
Business,Google Data Analytics,94,"MS Office, Machine Learning, Pemasaran",Eksekutif Pemasaran,Magister,Analisis Data Google
Arts,Digital Marketing,90,"Keuangan & Akuntansi, Komunikasi",Akademisi/Dosen,SMA/Sederajat,Pemasaran Digital
Psychology,CFA Level 1,66,"Konseling, MS Office, Python",Akuntan Junior,SMA/Sederajat,Keuangan (CFA)
Engineering,Creative Writing,60,"Pemasaran, Python",Software Engineer,Magister,Penulisan Kreatif
Commerce,Digital Marketing,66,"Analisis Data & IT, Keuangan & Akuntansi",Business Analyst,Sarjana,Pemasaran Digital
Commerce,Google Data Analytics,76,"Komunikasi, MS Office",Ilmuwan Peneliti,Doktor,Analisis Data Google
Engineering,Mental Health Basics,80,"Keuangan & Akuntansi, Machine Learning, Python",ML Engineer,Doktor,Kesehatan Mental
Business,CFA Level 1,90,"Keuangan & Akuntansi, MS Office, Machine Learning",Financial Analyst,SMA/Sederajat,Keuangan (CFA)
Arts,Creative Writing,81,"Keuangan & Akuntansi, Machine Learning, SQL",Software Engineer,SMA/Sederajat,Penulisan Kreatif
Engineering,Creative Writing,73,SQL,Eksekutif Pemasaran,SMA/Sederajat,Penulisan Kreatif
Finance,Mental Health Basics,76,"Keuangan & Akuntansi, Pemasaran, Python",Software Engineer,Magister,Kesehatan Mental
Finance,Digital Marketing,78,"Keuangan & Akuntansi, Komunikasi, MS Office",Ilmuwan Peneliti,SMA/Sederajat,Pemasaran Digital
Business,Digital Marketing,65,Keuangan & Akuntansi,Akuntan Junior,SMA/Sederajat,Pemasaran Digital
Arts,Mental Health Basics,86,"Analisis Data & IT, Keuangan & Akuntansi",Akademisi/Dosen,Magister,Kesehatan Mental
Arts,Google Data Analytics,89,"Analisis Data & IT, Machine Learning",Financial Analyst,SMA/Sederajat,Analisis Data Google
Business,AWS Certified,71,"Keuangan & Akuntansi, Komunikasi, Machine Learning",ML Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Arts,Mental Health Basics,70,"Machine Learning, Python, SQL",Eksekutif Pemasaran,SMA/Sederajat,Kesehatan Mental
Engineering,Google Data Analytics,79,"Analisis Data & IT, MS Office",ML Engineer,SMA/Sederajat,Analisis Data Google
Commerce,Mental Health Basics,73,"Analisis Data & IT, Keuangan & Akuntansi",Financial Analyst,Magister,Kesehatan Mental
Business,Digital Marketing,72,Keuangan & Akuntansi,Akademisi/Dosen,Sarjana,Pemasaran Digital
Psychology,Creative Writing,65,"Keuangan & Akuntansi, Pemasaran",Akuntan Junior,SMA/Sederajat,Penulisan Kreatif
Business,CFA Level 1,86,Python,Business Analyst,Sarjana,Keuangan (CFA)
Commerce,No Certification,89,"Konseling, Python",Asisten Penjualan,Sarjana,Tanpa Sertifikat
Engineering,AWS Certified,84,MS Office,ML Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,Creative Writing,67,"Analisis Data & IT, Python",Konselor Sekolah,Doktor,Penulisan Kreatif
Business,Digital Marketing,92,"Konseling, SQL",Ilmuwan Peneliti,SMA/Sederajat,Pemasaran Digital
Arts,Mental Health Basics,90,"Analisis Data & IT, Python",Financial Analyst,SMA/Sederajat,Kesehatan Mental
Computer Science,Digital Marketing,81,"Analisis Data & IT, Keuangan & Akuntansi, Konseling",Konselor Sekolah,SMA/Sederajat,Pemasaran Digital
Finance,Creative Writing,66,SQL,Operator Entri Data,SMA/Sederajat,Penulisan Kreatif
Psychology,No Certification,64,Machine Learning,Operator Entri Data,Doktor,Tanpa Sertifikat
Finance,Mental Health Basics,92,"Keuangan & Akuntansi, Machine Learning",Eksekutif Pemasaran,Sarjana,Kesehatan Mental
Engineering,CFA Level 1,79,"Analisis Data & IT, SQL",Operator Entri Data,SMA/Sederajat,Keuangan (CFA)
Commerce,CFA Level 1,64,"Keuangan & Akuntansi, Konseling",Business Analyst,SMA/Sederajat,Keuangan (CFA)
Finance,No Certification,88,"Keuangan & Akuntansi, Komunikasi, MS Office",Konselor Sekolah,Magister,Tanpa Sertifikat
Commerce,Digital Marketing,78,Keuangan & Akuntansi,Software Engineer,SMA/Sederajat,Pemasaran Digital
Arts,Digital Marketing,92,"Keuangan & Akuntansi, Machine Learning",Asisten Penjualan,Doktor,Pemasaran Digital
Finance,Creative Writing,85,MS Office,Eksekutif Pemasaran,Sarjana,Penulisan Kreatif
Arts,No Certification,73,"Analisis Data & IT, SQL",Konselor Sekolah,Doktor,Tanpa Sertifikat
Computer Science,No Certification,87,Pemasaran,Konselor Sekolah,SMA/Sederajat,Tanpa Sertifikat
