jenis_kelamin,jurusan_s1,spesialisasi_s1,minat,keterampilan,judul_sertifikasi,pekerjaan_pertama,ipk_s1,profil_lengkap
Female,Sarjana Sains,Aplikasi Komputer,Cloud Computing,Java; Python; SQL,"Linux,Git",Software,3.4,Sarjana Sains | Aplikasi Komputer | Cloud Computing | Java; Python; SQL | Software
Female,Sarjana Sains,Teknologi Informasi,Penelitian; Teknologi,Berpikir Analitis; C++; Creativity Skills; Editing (Penyuntingan); Kecerdasan Buatan; Kerja Tim; Mass Communication; Mendengarkan Aktif; Ml; Problem Solving Skills; Python,"C, C++",Mahasiswa (Belum Bekerja),3.59,"Sarjana Sains | Teknologi Informasi | Research, Technology | Berpikir Analitis; C++; Creativity Skills; Editing (Penyuntingan); Kecerdasan Buatan; Kerja Tim; Mass Communication; Mendengarkan Aktif; Ml; Problem Solving Skills; Python | Student (Unemployed)"
Male,Sarjana Teknik,Teknik Informatika,Penelitian; Teknologi; Analisis Data; Desain,Client Management; Good Communication Skills; Keterampilan Komunikasi; Mendengarkan Aktif; Pemrograman,No,Programmer Analyst Trainee (Pat),2.72,Sarjana Teknik | Teknik Informatika | Research;Technology;Data Analytics;Design | Client Management; Good Communication Skills; Keterampilan Komunikasi; Mendengarkan Aktif; Pemrograman | Programmer Analyst Trainee (Pat)
Female,Sarjana Teknik,Teknik Informatika,Pengajaran; Teknologi; Web Designing,Content Creation; Gathering Information; Mass Communication; Mendengarkan Aktif; Pemrograman,Mba,Programmer,2.74,Sarjana Teknik | Teknik Informatika | Teaching;Technology;Web Designing | Content Creation; Gathering Information; Mass Communication; Mendengarkan Aktif; Pemrograman | Programmer
Male,Sarjana Teknik,Teknologi Informasi,Teknologi; Understand Human Behaviour; Understand Human Body,Berpikir Analitis; Gathering Informing; Risk Managing; SQL,No,Risk Analyst,3.04,"Sarjana Teknik | Teknologi Informasi | Technology, Understand Human Behaviour, Understand Human Body | Berpikir Analitis; Gathering Informing; Risk Managing; SQL | Risk Analyst"
Female,Sarjana Sains,Ilmu Komputer,Teknologi; Analisis Data; Ilmuwan Data; Ilmu Data,Berpikir Analitis; Python; SQL; Visualisasi Data (Power BI/Tableau),Data Science,Tidak Tersedia,2.66,Sarjana Sains | Ilmu Komputer | Technology;Data Analytics;Data Scientist;All Fields Related To Data Science. | Berpikir Analitis; Python; SQL; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Male,Sarjana Sains,Ilmu Komputer,Digital Marketing; Market Reserach,Berpikir Analitis; Business Knowledge; Designing Skills; Hospitality; Hr; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Menulis; Microsoft Excel; People Management; Problem Solving Skills; Product Knowledge; Risk Management Skills; SQL; Visualisasi Data (Power BI/Tableau),No,Tidak Tersedia,3.0,Sarjana Sains | Ilmu Komputer | Digital Marketing;Market Reserach | Berpikir Analitis; Business Knowledge; Designing Skills; Hospitality; Hr; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Menulis; Microsoft Excel; People Management; Problem Solving Skills; Product Knowledge; Risk Management Skills; SQL; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Female,Sarjana Komputer,Aplikasi Komputer,Teknologi,Mendengarkan Aktif; Negotiation Skills,No,Data Entry,2.85,Sarjana Komputer | Aplikasi Komputer | Technology | Mendengarkan Aktif; Negotiation Skills | Data Entry
Male,Sarjana Teknik,Teknologi Informasi,Teknologi,Java; Pemrograman; SQL,No,Mahasiswa (Belum Bekerja),3.04,Sarjana Teknik | Teknologi Informasi | Technology | Java; Pemrograman; SQL | Student (Unemployed)
Male,Sarjana Teknik,Electrical And Electronics Engineering,Pekerjaan Perangkat Lunak,Stack Web Development,Stack Web Development,Associate Software Engineer,3.15,Sarjana Teknik | Electrical And Electronics Engineering | Software Job | Stack Web Development | Associate Software Engineer
Male,Sarjana Teknik,Electrical And Electronics Engineering,Ilmu Data; Machine Learning; Sports Industry,Berpikir Analitis; Business Knowledge; Keterampilan Komunikasi; Pemrograman; Python; SQL,"Ibm Machine Learning, Full Stack Development, Amcat Corporate Communications",Data Scientist-Intern,2.94,Sarjana Teknik | Electrical And Electronics Engineering | All Fields Related To Data Science.;Machine Learning;Sports Industry | Berpikir Analitis; Business Knowledge; Keterampilan Komunikasi; Pemrograman; Python; SQL | Data Scientist-Intern
Male,Sarjana Teknik,Teknik Informatika,Ilmuwan Data; Machine Learning,Artificial Intelligence; C++; Java; Linux; Pembelajaran Mesin; Pemrograman; Python; SQL; Visualisasi Data (Power BI/Tableau),Power Bi,Data Analyst,2.94,Sarjana Teknik | Teknik Informatika | Data Scientist;Machine Learning | Artificial Intelligence; C++; Java; Linux; Pembelajaran Mesin; Pemrograman; Python; SQL; Visualisasi Data (Power BI/Tableau) | Data Analyst
Female,Sarjana Sains,Ilmu Komputer,Teknologi; Analisis Data,C++; Editing (Penyuntingan); Keterampilan Komunikasi; Pemrograman; People Management; SQL,"C++, C Sharp, Fundamentals Of Project Management",Publishing Executive,3.12,Sarjana Sains | Ilmu Komputer | Technology;Data Analytics | C++; Editing (Penyuntingan); Keterampilan Komunikasi; Pemrograman; People Management; SQL | Publishing Executive
Male,Sarjana Teknik,Teknik Informatika,Pengembangan Web,Berpikir Kritis; Gathering Information; Hardware Skills; Mendengarkan Aktif; Pemrograman,No,Senior Software Engineer,2.84,Sarjana Teknik | Teknik Informatika | Web Development | Berpikir Kritis; Gathering Information; Hardware Skills; Mendengarkan Aktif; Pemrograman | Senior Software Engineer
Male,Sarjana Teknik,Teknik Informatika,Teknologi; Supply Chain Analysis,Artificial Intelligence; Berpikir Analitis; Pembelajaran Mesin; Python; SQL,No,Techno Commercial,3.4,Sarjana Teknik | Teknik Informatika | Technology;Supply Chain Analysis | Artificial Intelligence; Berpikir Analitis; Pembelajaran Mesin; Python; SQL | Techno Commercial
Female,Sarjana Ekonomi,Teknik Informatika,Analisis Keuangan,Akuntansi,No,Mahasiswa (Belum Bekerja),3.65,Sarjana Ekonomi | Teknik Informatika | Financial Analysis | Akuntansi | Student (Unemployed)
Female,Sarjana Teknik,Teknik Informatika,Teknologi,Python,No,Mahasiswa (Belum Bekerja),2.81,Sarjana Teknik | Teknik Informatika | Technology | Python | Student (Unemployed)
Female,Sarjana Teknik,Aplikasi Komputer,Teknologi; Information Technology,Cloud Computing; Hardware Skills; Java; Keterampilan Komunikasi; Keterampilan Presentasi; Linux; Menulis; Pemrograman; Problem Solving Skills; Python; Risk Management Skills,No,Software Engineer,2.85,Sarjana Teknik | Aplikasi Komputer | Technology;Information Technology | Cloud Computing; Hardware Skills; Java; Keterampilan Komunikasi; Keterampilan Presentasi; Linux; Menulis; Pemrograman; Problem Solving Skills; Python; Risk Management Skills | Software Engineer
Female,Sarjana Ekonomi,Teknik Informatika,Analisis Keuangan,Communication; Companies Act; Company Secretarial Work; Indirect Taxation; Interpersonal Communication; Kerja Tim; Keterampilan Interpersonal; Legal Compliance; Presentations; Teamleadership; Time Management,Companies Act;Indirect Taxation,Company Secretary,2.7,Sarjana Ekonomi | Teknik Informatika | Financial Analysis | Communication; Companies Act; Company Secretarial Work; Indirect Taxation; Interpersonal Communication; Kerja Tim; Keterampilan Interpersonal; Legal Compliance; Presentations; Teamleadership; Time Management | Company Secretary
Prefer not to say,Sarjana Ekonomi,Automobile Engineering,Information Technology,Cloud Computing,Azure,Trainee Developer,1.88,Sarjana Ekonomi | Automobile Engineering | Information Technology | Cloud Computing | Trainee Developer
Male,Sarjana Teknik,Teknik Informatika,Machine Learning,C++; Css; Design And Prototype In Adobe Xd; HTML; Java Backend Development; Javascript For Web Developers; Jdbc Programming; Object Oriented Programming; Problem Solving Skills; Responsive Web Design; String Stringbuffer And Stringbuilder In Java,Java Backend Development; C; C++; Problem Solving Skills; Jdbc Programming ;Object Oriented Programming; String Stringbuffer And Stringbuilder In Java ;Design And Prototype In Adobe Xd ;Html; Css;Javascript For Web Developers; Responsive Web Design,Full Stack Developer,3.38,Sarjana Teknik | Teknik Informatika | Machine Learning | C++; Css; Design And Prototype In Adobe Xd; HTML; Java Backend Development; Javascript For Web Developers; Jdbc Programming; Object Oriented Programming; Problem Solving Skills; Responsive Web Design; String Stringbuffer And Stringbuilder In Java | Full Stack Developer
Female,Sarjana Sains,Teknik Informatika,Understand Human Behaviour; Understand Human Body,Berpikir Kritis; Creativity Skills; Designing Skills; Editing (Penyuntingan); Kepemimpinan; Kerja Tim; Logika; Mendengarkan Aktif; Microsoft Excel; Problem Solving Skills; SQL,No,Mahasiswa (Belum Bekerja),3.32,"Sarjana Sains | Teknik Informatika | Understand Human Behaviour, Understand Human Body | Berpikir Kritis; Creativity Skills; Designing Skills; Editing (Penyuntingan); Kepemimpinan; Kerja Tim; Logika; Mendengarkan Aktif; Microsoft Excel; Problem Solving Skills; SQL | Student (Unemployed)"
Female,Sarjana Komputer,"Principal Of Programming Language With C, Ms Office Management Tools, Computer Organization, Mathematics, English.",Web Designing; Analisis Data; Pengembangan Web; Information Technology,Artistic; Creative Skills; Gathering Information; Kepemimpinan; Keterampilan Komunikasi; Mendengarkan Aktif; Menulis; Pemrograman; Problem Solving Skills; Programming Language C,No,Tidak Tersedia,3.42,"Sarjana Komputer | Principal Of Programming Language With C, Ms Office Management Tools, Computer Organization, Mathematics, English. | Web Designing;Data Analytics;Web Development;Information Technology | Artistic; Creative Skills; Gathering Information; Kepemimpinan; Keterampilan Komunikasi; Mendengarkan Aktif; Menulis; Pemrograman; Problem Solving Skills; Programming Language C | Tidak Tersedia"
Female,Magister Komputer,Ilmu Komputer,Penelitian; Teknologi; Analisis Data; Ilmuwan Data; Pengembangan Web,C++; Gathering Information; Java; Mendengarkan Aktif; Pemrograman,Machine Learning,Tidak Tersedia,2.76,Magister Komputer | Ilmu Komputer | Research;Technology;Data Analytics;Data Scientist;Web Development | C++; Gathering Information; Java; Mendengarkan Aktif; Pemrograman | Tidak Tersedia
Male,Sarjana Sains,Teknik Informatika,Teknologi; Analisis Data,Keterampilan Komunikasi; Mendengarkan Aktif; Pembelajaran Mesin; Pemrograman; Python,Data Science Using Python And R Programming Languages,Tidak Tersedia,2.68,Sarjana Sains | Teknik Informatika | Technology;Data Analytics | Keterampilan Komunikasi; Mendengarkan Aktif; Pembelajaran Mesin; Pemrograman; Python | Tidak Tersedia
Female,Sarjana Teknik,Civil Engineering,Penelitian; Ilmu Data; Desain,Berpikir Analitis; Good Communication Skills; Keahlian Software Teknik (STAAD/ETABS); Mengajar; Proeficiency In Software Like Staad Pro; Python,"Diploma In Building Design,Primavera,Mx Road",Tidak Tersedia,3.13,Sarjana Teknik | Civil Engineering | Research;All Fields Related To Data Science.;Design | Berpikir Analitis; Good Communication Skills; Keahlian Software Teknik (STAAD/ETABS); Mengajar; Proeficiency In Software Like Staad Pro; Python | Tidak Tersedia
Male,Sarjana Teknik,Electronics And Communication Engineering,Perdagangan; Analisis Data; Ilmuwan Data; Ilmu Data,Cloud Computing; Kepemimpinan; Mendengarkan Aktif; People Management,Diploma In Cloud Computing,Associate It Consultant,2.36,Sarjana Teknik | Electronics And Communication Engineering | Trading;Data Analytics;Data Scientist;All Fields Related To Data Science. | Cloud Computing; Kepemimpinan; Mendengarkan Aktif; People Management | Associate It Consultant
Female,Sarjana Teknik,Teknik Informatika,Web Designing; Ilmuwan Data,Berpikir Kritis; Cloud Computing; Java; Keterampilan Komunikasi; Mendengarkan Aktif; Pemrograman,No,Sales Force,2.66,Sarjana Teknik | Teknik Informatika | Web Designing;Data Scientist | Berpikir Kritis; Cloud Computing; Java; Keterampilan Komunikasi; Mendengarkan Aktif; Pemrograman | Sales Force
Male,Sarjana Teknik,Electrical And Electronics Engineering,Software Developer,Berpikir Analitis; C++; Kecerdasan Buatan; Ml; Pemrograman; Python; SQL,Data Science,Mahasiswa (Belum Bekerja),2.66,Sarjana Teknik | Electrical And Electronics Engineering | Software Developer | Berpikir Analitis; C++; Kecerdasan Buatan; Ml; Pemrograman; Python; SQL | Student (Unemployed)
Male,Sarjana Teknik,Teknik Informatika,Ilmuwan Data; Pengembangan Web; Social Causes; All Fields Related To Data Science; Machine Learning,Ajax; Angular; Bootstrap; Codeignitor; Javascript; Jira; Jquery; Loopback; Node.Js; Php; Trello,Html,Web Developer,2.89,"Sarjana Teknik | Teknik Informatika | Data Scientist,Web Development,Social Causes,All Fields Related To Data Science,Machine Learning | Ajax; Angular; Bootstrap; Codeignitor; Javascript; Jira; Jquery; Loopback; Node.Js; Php; Trello | Web Developer"
Male,Sarjana Teknik,Artificial Intelligence,Analisis Data,Pembelajaran Mesin; Pemrograman; Python,Data Science,Tidak Tersedia,3.04,Sarjana Teknik | Artificial Intelligence | Data Analytics | Pembelajaran Mesin; Pemrograman; Python | Tidak Tersedia
Male,Sarjana Sains,Teknologi Informasi,Teknologi,Berpikir Kritis; Mendengarkan Aktif,No,Se,2.8,Sarjana Sains | Teknologi Informasi | Technology | Berpikir Kritis; Mendengarkan Aktif | Se
Male,Sarjana Teknik,Teknologi Informasi,Ilmu Data,Kepemimpinan; Python; SQL,Data Science,Maths Content Developer,2.18,Sarjana Teknik | Teknologi Informasi | All Fields Related To Data Science. | Kepemimpinan; Python; SQL | Maths Content Developer
Female,Sarjana Teknik,Teknik Informatika,Web Designing; Pengembangan Web; Social Media Marketing; Information Technology,Foreign Languages French; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Linux; Pemrograman; Problem Solving Skills; SQL; Spanish,No,Associate Consultant,3.38,Sarjana Teknik | Teknik Informatika | Web Designing;Web Development;Social Media Marketing;Information Technology | Foreign Languages French; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Linux; Pemrograman; Problem Solving Skills; SQL; Spanish | Associate Consultant
Male,Sarjana Teknik,Computer Science And Engineering,Pekerjaan Perangkat Lunak,Tidak Tersedia,No,Software Developer,3.04,Sarjana Teknik | Computer Science And Engineering | Software Job | Tidak Tersedia | Software Developer
Male,Sarjana Teknik,Mathematics,Pengembangan Web,Kepemimpinan; Pemrograman,No,Tidak Tersedia,2.62,Sarjana Teknik | Mathematics | Web Development | Kepemimpinan; Pemrograman | Tidak Tersedia
Male,Sarjana Teknik,Teknik Informatika,Teknologi; Perdagangan; Understand Human Behaviour; Desain,Artistic; Berpikir Kritis; Creative Skills; Designing Skills; Kepemimpinan; Problem Solving Skills; Product Knowledge,Ux Design,Ux Designer,2.47,Sarjana Teknik | Teknik Informatika | Technology;Trading;Understand Human Behaviour;Design | Artistic; Berpikir Kritis; Creative Skills; Designing Skills; Kepemimpinan; Problem Solving Skills; Product Knowledge | Ux Designer
Female,Sarjana Sains,Teknik Informatika,Take Risk For Profits; Pengajaran; Teknologi,Akuntansi; Business Knowledge; Creativity Skills; Kepemimpinan; Kerja Tim; Keterampilan Presentasi; Microsoft Excel; Pemrograman; People Management; Problem Solving Skills; Reporting,C Programming,Office Assistant And Acoounts,2.32,"Sarjana Sains | Teknik Informatika | Take Risk For Profits, Teaching, Technology | Akuntansi; Business Knowledge; Creativity Skills; Kepemimpinan; Kerja Tim; Keterampilan Presentasi; Microsoft Excel; Pemrograman; People Management; Problem Solving Skills; Reporting | Office Assistant And Acoounts"
Male,Sarjana Sains,Statistics,Analisis Keuangan; Penelitian; Penjualan/Pemasaran; Teknologi; Perdagangan; Understand Human Behaviour; Understand Human Body; Supply Chain Analysis; Web Designing; Content Writing; Analisis Data; Ilmuwan Data; Pengembangan Web; Market Reserach; Social Media Marketing; Gardening; Social Causes,Akuntansi; Architecture; Berpikir Analitis; Berpikir Kritis; Cloud Computing; Content Creation; Designing Skills; Finance Related Skills; Gathering Information; Hukum Perdata & Pidana; Java; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Mendengarkan Aktif; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; Risk Management Skills; SQL; Sales; Social Media Marketing; Visualisasi Data (Power BI/Tableau),Data Science Using Python And R,Assistant System Engineer,2.64,Sarjana Sains | Statistics | Financial Analysis;Research;Sales/Marketing;Technology;Trading;Understand Human Behaviour;Understand Human Body;Supply Chain Analysis;Web Designing;Content Writing;Data Analytics;Data Scientist;Web Development;Market Reserach;Social Media Marketing;Gardening;Social Causes | Akuntansi; Architecture; Berpikir Analitis; Berpikir Kritis; Cloud Computing; Content Creation; Designing Skills; Finance Related Skills; Gathering Information; Hukum Perdata & Pidana; Java; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Mendengarkan Aktif; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; Risk Management Skills; SQL; Sales; Social Media Marketing; Visualisasi Data (Power BI/Tableau) | Assistant System Engineer
Male,Sarjana Komputer,Mca,Teknologi; Web Designing; Analisis Data; Ilmuwan Data; Pengembangan Web; Ilmu Data; Machine Learning,Aws; Java; Javascript; Pemrograman; Python; SQL,No,Back-End Developer,2.97,Sarjana Komputer | Mca | Technology;Web Designing;Data Analytics;Data Scientist;Web Development;All Fields Related To Data Science.;Machine Learning | Aws; Java; Javascript; Pemrograman; Python; SQL | Back-End Developer
Female,Sarjana Komputer,Aplikasi Komputer,Teknologi; Analisis Data,Akuntansi; Keterampilan Interpersonal; Keterampilan Komunikasi; Mendengarkan Aktif; Menulis; Problem Solving Skills,No,Tidak Tersedia,3.2,Sarjana Komputer | Aplikasi Komputer | Technology;Data Analytics | Akuntansi; Keterampilan Interpersonal; Keterampilan Komunikasi; Mendengarkan Aktif; Menulis; Problem Solving Skills | Tidak Tersedia
Female,Sarjana Teknik,Teknik Informatika,Teknologi; Web Designing; Analisis Data,C++; Java; Keterampilan Komunikasi; Menulis; Python; SQL,No,Associate Consultant,3.16,Sarjana Teknik | Teknik Informatika | Technology;Web Designing;Data Analytics | C++; Java; Keterampilan Komunikasi; Menulis; Python; SQL | Associate Consultant
Female,Sarjana Teknik,Ilmu Komputer,Pengembangan Web,Pemrograman; Problem Solving Skills,No,Associate Technology L2,3.51,Sarjana Teknik | Ilmu Komputer | Web Development | Pemrograman; Problem Solving Skills | Associate Technology L2
Female,Sarjana Teknik,Teknik Informatika,Web Designing,Berpikir Kritis; Designing Skills; Finance Related Skills; Kepemimpinan; Keterampilan Komunikasi; People Management; Social Media Marketing,No,Test Engineer,3.23,Sarjana Teknik | Teknik Informatika | Web Designing | Berpikir Kritis; Designing Skills; Finance Related Skills; Kepemimpinan; Keterampilan Komunikasi; People Management; Social Media Marketing | Test Engineer
